Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8071512700KF,Intel,Core i7-12700KF,1,121,3,https://cpu.userbenchmark.com/SpeedTest/1699429/12th-Gen-IntelR-CoreTM-i7-12700KF
CPU,BX8071512900KF,Intel,Core i9-12900KF,2,121,3,https://cpu.userbenchmark.com/SpeedTest/1685583/12th-Gen-IntelR-CoreTM-i9-12900KF
CPU,BX8071512700K,Intel,Core i7-12700K,3,119,20,https://cpu.userbenchmark.com/Intel-Core-i7-12700K/Rating/4119
CPU,BX8071512900K,Intel,Core i9-12900K,4,119,39,https://cpu.userbenchmark.com/Intel-Core-i9-12900K/Rating/4118
CPU,BX8071512600K,Intel,Core i5-12600K,5,117,12,https://cpu.userbenchmark.com/Intel-Core-i5-12600K/Rating/4120
CPU,BX8070811900K,Intel,Core i9-11900K,6,109,13383,https://cpu.userbenchmark.com/Intel-Core-i9-11900K/Rating/4110
CPU,BX8070811900KF,Intel,Core i9-11900KF,7,107,3000,https://cpu.userbenchmark.com/SpeedTest/1515781/11th-Gen-IntelR-CoreTM-i9-11900KF---350GHz
CPU,BX8070811700K,Intel,Core i7-11700K,8,106,23251,https://cpu.userbenchmark.com/Intel-Core-i7-11700K/Rating/4107
CPU,BX8070811700KF,Intel,Core i7-11700KF,9,105,5083,https://cpu.userbenchmark.com/SpeedTest/1514594/11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz
CPU,BX8070811900F,Intel,Core i9-11900F,10,105,1437,https://cpu.userbenchmark.com/SpeedTest/1492552/11th-Gen-IntelR-CoreTM-i9-11900F---250GHz
CPU,BX8070811900,Intel,Core i9-11900,11,105,1535,https://cpu.userbenchmark.com/SpeedTest/1515871/11th-Gen-IntelR-CoreTM-i9-11900---250GHz
CPU,BX8070811600K,Intel,Core i5-11600K,12,104,12661,https://cpu.userbenchmark.com/Intel-Core-i5-11600K/Rating/4113
CPU,BX8070811600,Intel,Core i5-11600,13,103,772,https://cpu.userbenchmark.com/SpeedTest/1543284/11th-Gen-IntelR-CoreTM-i5-11600---280GHz
CPU,BX8070811600KF,Intel,Core i5-11600KF,14,103,2080,https://cpu.userbenchmark.com/SpeedTest/1512279/11th-Gen-IntelR-CoreTM-i5-11600KF---390GHz
CPU,BX8070110900K,Intel,Core i9-10900K,15,101,68628,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071
CPU,BX80684I99900KS,Intel,Core i9-9900KS,16,101,12760,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,BX8070811700,Intel,Core i7-11700,17,101,6076,https://cpu.userbenchmark.com/SpeedTest/1450761/11th-Gen-IntelR-CoreTM-i7-11700---250GHz
CPU,BX8070110900KF,Intel,Core i9-10900KF,18,101,15991,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR-CoreTM-i9-10900KF-CPU---370GHz
CPU,BX8070811500,Intel,Core i5-11500,19,101,1478,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz
CPU,100-100000059WOF,AMD,Ryzen 9 5950X,20,101,38873,https://cpu.userbenchmark.com/AMD-Ryzen-9-5950X/Rating/4086
CPU,BX8070110850K,Intel,Core i9-10850K,21,100,48779,https://cpu.userbenchmark.com/SpeedTest/1255865/IntelR-CoreTM-i9-10850K-CPU---360GHz
CPU,100-100000061WOF,AMD,Ryzen 9 5900X,22,100,82488,https://cpu.userbenchmark.com/AMD-Ryzen-9-5900X/Rating/4087
CPU,BX8070811700F,Intel,Core i7-11700F,23,98.9,5083,https://cpu.userbenchmark.com/SpeedTest/1522100/11th-Gen-IntelR-CoreTM-i7-11700F---250GHz
CPU,100-100000063WOF,AMD,Ryzen 7 5800X,24,98.7,153697,https://cpu.userbenchmark.com/AMD-Ryzen-7-5800X/Rating/4085
CPU,,AMD,Ryzen 9 5900,25,98,307,https://cpu.userbenchmark.com/SpeedTest/1528736/AMD-Ryzen-9-5900-12-Core-Processor
CPU,BX80684I99900KF,Intel,Core i9-9900KF,26,97.7,18460,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR-CoreTM-i9-9900KF-CPU---360GHz
CPU,BX8070110700KF,Intel,Core i7-10700KF,27,97.7,23131,https://cpu.userbenchmark.com/SpeedTest/1171560/IntelR-CoreTM-i7-10700KF-CPU---380GHz
CPU,BX8070110700K,Intel,Core i7-10700K,28,97.6,137188,https://cpu.userbenchmark.com/Intel-Core-i7-10700K/Rating/4070
CPU,BX80684I79700K,Intel,Core i7-9700K,29,97.5,448429,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030
CPU,BX8070811400,Intel,Core i5-11400,30,97.5,7674,https://cpu.userbenchmark.com/Intel-Core-i5-11400/Rating/4112
CPU,BX80684I99900K,Intel,Core i9-9900K,31,97.4,416846,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028
CPU,BX80684I79700KF,Intel,Core i7-9700KF,32,97.3,29630,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz
CPU,,AMD,Ryzen 7 5800,33,97.2,910,https://cpu.userbenchmark.com/SpeedTest/1496609/AMD-Ryzen-7-5800-8-Core-Processor
CPU,BX8070110900F,Intel,Core i9-10900F,34,97.1,5735,https://cpu.userbenchmark.com/SpeedTest/1196789/IntelR-CoreTM-i9-10900F-CPU---280GHz
CPU,,Intel,Core i9-10900,35,96.7,7466,https://cpu.userbenchmark.com/SpeedTest/1169242/IntelR-CoreTM-i9-10900-CPU---280GHz
CPU,100-100000065BOX,AMD,Ryzen 5 5600X,36,96.2,230362,https://cpu.userbenchmark.com/AMD-Ryzen-5-5600X/Rating/4084
CPU,,Intel,Core i9-11980HK,37,95.9,757,https://cpu.userbenchmark.com/SpeedTest/1569162/11th-Gen-IntelR-CoreTM-i9-11980HK---260GHz
CPU,BX8070811400F,Intel,Core i5-11400F,38,95.9,7258,https://cpu.userbenchmark.com/Intel-Core-i5-11400F/Rating/4111
CPU,,Intel,Core i9-11950H,39,94.5,322,https://cpu.userbenchmark.com/SpeedTest/1554081/11th-Gen-IntelR-CoreTM-i9-11950H---260GHz
CPU,BX8070110600KF,Intel,Core i5-10600KF,40,94.5,13509,https://cpu.userbenchmark.com/SpeedTest/1225152/IntelR-CoreTM-i5-10600KF-CPU---410GHz
CPU,BX8070110600K,Intel,Core i5-10600K,41,94.3,51594,https://cpu.userbenchmark.com/Intel-Core-i5-10600K/Rating/4072
CPU,BX8070110700F,Intel,Core i7-10700F,42,94.2,29768,https://cpu.userbenchmark.com/SpeedTest/1183814/IntelR-CoreTM-i7-10700F-CPU---290GHz
CPU,BX80684I59600KF,Intel,Core i5-9600KF,43,94.2,54175,https://cpu.userbenchmark.com/SpeedTest/772658/IntelR-CoreTM-i5-9600KF-CPU---370GHz
CPU,100-100000263BOX,AMD,Ryzen 7 5700G,44,94,3689,https://cpu.userbenchmark.com/SpeedTest/1552677/AMD-Ryzen-7-5700G-with-Radeon-Graphics
CPU,BX8070110700,Intel,Core i7-10700,45,93.8,46079,https://cpu.userbenchmark.com/Intel-Core-i7-10700/Rating/4077
CPU,BX80684I59600K,Intel,Core i5-9600K,46,93.8,326874,https://cpu.userbenchmark.com/Intel-Core-i5-9600K/Rating/4031
CPU,BX80684I78086K,Intel,Core i7-8086K,47,93.4,39045,https://cpu.userbenchmark.com/SpeedTest/516988/IntelR-CoreTM-i7-8086K-CPU---400GHz
CPU,BX80684I79700,Intel,Core i7-9700,48,93.2,66200,https://cpu.userbenchmark.com/SpeedTest/816180/IntelR-CoreTM-i7-9700-CPU---300GHz
CPU,BX80684I79700F,Intel,Core i7-9700F,49,93.2,41435,https://cpu.userbenchmark.com/SpeedTest/816132/IntelR-CoreTM-i7-9700F-CPU---300GHz
CPU,BX80684I99900,Intel,Core i9-9900,50,93.1,9912,https://cpu.userbenchmark.com/SpeedTest/816115/IntelR-CoreTM-i9-9900-CPU---310GHz
CPU,,Intel,Core i7-11850H,51,92.5,441,https://cpu.userbenchmark.com/SpeedTest/1557007/11th-Gen-IntelR-CoreTM-i7-11850H---250GHz
CPU,BX8070110600,Intel,Core i5-10600,52,92.4,5831,https://cpu.userbenchmark.com/Intel-Core-i5-10600/Rating/4069
CPU,,Intel,Core i9-11900H,53,92.1,1419,https://cpu.userbenchmark.com/SpeedTest/1539880/11th-Gen-IntelR-CoreTM-i9-11900H---250GHz
CPU,BX80684I58600K,Intel,Core i5-8600K,54,91.9,210685,https://cpu.userbenchmark.com/Intel-Core-i5-8600K/Rating/3941
CPU,BX80684I59600,Intel,Core i5-9600,55,91.5,575,https://cpu.userbenchmark.com/SpeedTest/853186/IntelR-CoreTM-i5-9600-CPU---310GHz
CPU,BX80684I78700K,Intel,Core i7-8700K,56,91.3,642515,https://cpu.userbenchmark.com/Intel-Core-i7-8700K/Rating/3937
CPU,,Intel,Core i7-11800H,57,91.2,14903,https://cpu.userbenchmark.com/SpeedTest/1542191/11th-Gen-IntelR-CoreTM-i7-11800H---230GHz
CPU,BX8070110500,Intel,Core i5-10500,58,90.9,6211,https://cpu.userbenchmark.com/Intel-Core-i5-10500/Rating/4078
CPU,100-100000252BOX,AMD,Ryzen 5 5600G,59,90.8,4955,https://cpu.userbenchmark.com/SpeedTest/1553183/AMD-Ryzen-5-5600G-with-Radeon-Graphics
CPU,,Intel,Core i3-10320,60,89.3,362,https://cpu.userbenchmark.com/SpeedTest/1180543/IntelR-CoreTM-i3-10320-CPU---380GHz
