Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8070811900K,Intel,Core i9-11900K,1,108,11612,https://cpu.userbenchmark.com/Intel-Core-i9-11900K/Rating/4110
CPU,BX8070811900KF,Intel,Core i9-11900KF,2,107,2709,https://cpu.userbenchmark.com/SpeedTest/1515781/11th-Gen-IntelR-CoreTM-i9-11900KF---350GHz
CPU,BX8070811700K,Intel,Core i7-11700K,3,107,20809,https://cpu.userbenchmark.com/Intel-Core-i7-11700K/Rating/4107
CPU,BX8070811700KF,Intel,Core i7-11700KF,4,106,4589,https://cpu.userbenchmark.com/SpeedTest/1514594/11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz
CPU,BX8070811900F,Intel,Core i9-11900F,5,105,1284,https://cpu.userbenchmark.com/SpeedTest/1492552/11th-Gen-IntelR-CoreTM-i9-11900F---250GHz
CPU,BX8070811900,Intel,Core i9-11900,6,105,1451,https://cpu.userbenchmark.com/SpeedTest/1515871/11th-Gen-IntelR-CoreTM-i9-11900---250GHz
CPU,BX8070811600K,Intel,Core i5-11600K,7,104,10247,https://cpu.userbenchmark.com/Intel-Core-i5-11600K/Rating/4113
CPU,BX8070811600KF,Intel,Core i5-11600KF,8,104,1955,https://cpu.userbenchmark.com/SpeedTest/1512279/11th-Gen-IntelR-CoreTM-i5-11600KF---390GHz
CPU,BX8070811600,Intel,Core i5-11600,9,103,644,https://cpu.userbenchmark.com/SpeedTest/1543284/11th-Gen-IntelR-CoreTM-i5-11600---280GHz
CPU,BX8070110900K,Intel,Core i9-10900K,10,102,66851,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071
CPU,BX80684I99900KS,Intel,Core i9-9900KS,11,101,12449,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,BX8070811700,Intel,Core i7-11700,12,101,5246,https://cpu.userbenchmark.com/SpeedTest/1450761/11th-Gen-IntelR-CoreTM-i7-11700---250GHz
CPU,BX8070110900KF,Intel,Core i9-10900KF,13,101,16615,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR-CoreTM-i9-10900KF-CPU---370GHz
CPU,BX8070811500,Intel,Core i5-11500,14,101,1153,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz
CPU,100-100000061WOF,AMD,Ryzen 9 5900X,15,100,85163,https://cpu.userbenchmark.com/AMD-Ryzen-9-5900X/Rating/4087
CPU,BX8070110850K,Intel,Core i9-10850K,16,99.9,53842,https://cpu.userbenchmark.com/SpeedTest/1255865/IntelR-CoreTM-i9-10850K-CPU---360GHz
CPU,100-100000059WOF,AMD,Ryzen 9 5950X,17,99.7,35850,https://cpu.userbenchmark.com/AMD-Ryzen-9-5950X/Rating/4086
CPU,BX8070811700F,Intel,Core i7-11700F,18,99.4,4862,https://cpu.userbenchmark.com/SpeedTest/1522100/11th-Gen-IntelR-CoreTM-i7-11700F---250GHz
CPU,,AMD,Ryzen 9 5900,19,98.1,289,https://cpu.userbenchmark.com/SpeedTest/1528736/AMD-Ryzen-9-5900-12-Core-Processor
CPU,100-100000063WOF,AMD,Ryzen 7 5800X,20,98,145720,https://cpu.userbenchmark.com/AMD-Ryzen-7-5800X/Rating/4085
CPU,BX8070811400,Intel,Core i5-11400,21,97.9,6831,https://cpu.userbenchmark.com/Intel-Core-i5-11400/Rating/4112
CPU,BX80684I99900K,Intel,Core i9-9900K,22,97.9,396759,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028
